Time resolution is 1 ps
Time =               314000, clk = 1, sw = 1, data = 0001
Time =               315000, clk = 0, sw = 1, data = 0001
Time =               315000, clk = 1, sw = 1, data = 0001
Time =               316000, clk = 0, sw = 1, data = 0001
Time =               316000, clk = 1, sw = 1, data = 0001
Time =               317000, clk = 0, sw = 1, data = 0001
Time =               318000, clk = 1, sw = 1, data = 0001
Time =               318000, clk = 0, sw = 1, data = 0001
Time =               319000, clk = 1, sw = 1, data = 0001
Time =               319000, clk = 0, sw = 1, data = 0001
Time =               320000, clk = 1, sw = 1, data = 0001
Time =               321000, clk = 0, sw = 1, data = 0001
Time =               321000, clk = 1, sw = 1, data = 0001
Time =               322000, clk = 0, sw = 1, data = 0001
Time =               322000, clk = 1, sw = 1, data = 1000
Time =               323000, clk = 0, sw = 1, data = 1000
Time =               323000, clk = 1, sw = 1, data = 1000
Time =               324000, clk = 0, sw = 1, data = 1000
Time =               325000, clk = 1, sw = 1, data = 1000
Time =               325000, clk = 0, sw = 1, data = 1000
Time =               326000, clk = 1, sw = 1, data = 1000
